"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2019","","","","8863.125079"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2018","","","","9551.985736"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2017","","","","7742.860072"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2017","","","","7553.428967"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2018","","","","9915.123248"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2019","","","","10067.95542"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2020","","","","7950.787617"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2021","","","","10706.414746"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2022","","","","12925.218329"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2023","","","","10971.479852"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2024","","","","11805.106176"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2025","","","","12440.10759"
